MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write)
MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write)
SSD;37748736;int;9437184;1;now(), lib chrono;2,235574;2,1620475;1,75E+13;21,6204865;1,41%
SSD;37748736;int;9437184;2;now(), lib chrono;2,225818;2,1620475;1,75E+13;21,6204865;1,41%
SSD;37748736;int;9437184;3;now(), lib chrono;2,213809;2,1620475;1,75E+13;21,6204865;1,41%
SSD;37748736;int;9437184;4;now(), lib chrono;2,232782;2,1620475;1,75E+13;21,6204865;1,41%
SSD;37748736;int;9437184;5;now(), lib chrono;2,206204;2,1620475;1,75E+13;21,6204865;1,41%
SSD;37748736;int;9437184;6;now(), lib chrono;1,832324;2,1620475;1,75E+13;21,6204865;1,41%
SSD;37748736;int;9437184;7;now(), lib chrono;2,085283;2,1620475;1,75E+13;21,6204865;1,41%
SSD;37748736;int;9437184;8;now(), lib chrono;2,19721;2,1620475;1,75E+13;21,6204865;1,41%
SSD;37748736;int;9437184;9;now(), lib chrono;2,15904;2,1620475;1,75E+13;21,6204865;1,41%
SSD;37748736;int;9437184;10;now(), lib chrono;2,232431;2,1620475;1,75E+13;21,6204865;1,41%
MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write)
SSD;41943040;int;10485760;1;now(), lib chrono;2,446114;2,2655684;1,85E+13;22,6556955;1,47%
SSD;41943040;int;10485760;2;now(), lib chrono;2,421939;2,2655684;1,85E+13;22,6556955;1,47%
SSD;41943040;int;10485760;3;now(), lib chrono;2,415012;2,2655684;1,85E+13;22,6556955;1,47%
SSD;41943040;int;10485760;4;now(), lib chrono;2,144503;2,2655684;1,85E+13;22,6556955;1,47%
SSD;41943040;int;10485760;5;now(), lib chrono;1,981684;2,2655684;1,85E+13;22,6556955;1,47%
SSD;41943040;int;10485760;6;now(), lib chrono;2,02576;2,2655684;1,85E+13;22,6556955;1,47%
SSD;41943040;int;10485760;7;now(), lib chrono;2,115862;2,2655684;1,85E+13;22,6556955;1,47%
SSD;41943040;int;10485760;8;now(), lib chrono;2,37963;2,2655684;1,85E+13;22,6556955;1,47%
SSD;41943040;int;10485760;9;now(), lib chrono;2,325147;2,2655684;1,85E+13;22,6556955;1,47%
SSD;41943040;int;10485760;10;now(), lib chrono;2,400033;2,2655684;1,85E+13;22,6556955;1,47%
MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write)
SSD;46137344;int;11534336;1;now(), lib chrono;2,824347;2,7549083;1,67E+13;27,5490955;1,79%
SSD;46137344;int;11534336;2;now(), lib chrono;2,827263;2,7549083;1,67E+13;27,5490955;1,79%
SSD;46137344;int;11534336;3;now(), lib chrono;2,825177;2,7549083;1,67E+13;27,5490955;1,79%
SSD;46137344;int;11534336;4;now(), lib chrono;2,739682;2,7549083;1,67E+13;27,5490955;1,79%
SSD;46137344;int;11534336;5;now(), lib chrono;2,476734;2,7549083;1,67E+13;27,5490955;1,79%
SSD;46137344;int;11534336;6;now(), lib chrono;2,464001;2,7549083;1,67E+13;27,5490955;1,79%
SSD;46137344;int;11534336;7;now(), lib chrono;2,863195;2,7549083;1,67E+13;27,5490955;1,79%
